REF_AREA,Total_age_0_4,Visible_Minority_Total,Visible_Minority,Unemployment_rate,Total_age_65_older,Total_LIM_18_64,Total_LIM_65_over,LIM_18_64,LIM_65_over,Language_Total,Language_NO_Eng_Fr,Total_age
2021S051248060425,20.0,405.0,85.0,21.3,75.0,265.0,75.0,15.0,5.0,425.0,0.0,425.0
2021S051248060426,25.0,490.0,90.0,10.9,75.0,290.0,75.0,20.0,5.0,450.0,0.0,450.0
2021S051248060427,35.0,565.0,110.0,11.9,95.0,340.0,95.0,35.0,5.0,545.0,5.0,540.0
2021S051248060428,25.0,515.0,205.0,0.0,85.0,360.0,90.0,30.0,5.0,540.0,10.0,540.0
2021S051248060429,15.0,380.0,100.0,8.5,65.0,270.0,65.0,30.0,5.0,400.0,5.0,400.0
2021S051248060430,30.0,805.0,350.0,16.7,85.0,625.0,85.0,115.0,10.0,815.0,15.0,810.0
2021S051248060431,30.0,605.0,190.0,10.8,85.0,440.0,85.0,55.0,5.0,630.0,10.0,630.0
2021S051248060432,15.0,570.0,140.0,14.7,75.0,285.0,75.0,35.0,5.0,490.0,0.0,490.0
2021S051248060433,15.0,590.0,100.0,22.1,110.0,345.0,110.0,40.0,5.0,525.0,5.0,525.0
2021S051248060434,25.0,660.0,270.0,16.3,60.0,500.0,60.0,75.0,10.0,670.0,0.0,665.0
2021S051248060435,45.0,590.0,125.0,5.3,65.0,475.0,65.0,30.0,10.0,685.0,5.0,685.0
2021S051248060437,40.0,565.0,185.0,16.9,65.0,400.0,65.0,35.0,10.0,585.0,15.0,585.0
2021S051248060440,45.0,595.0,175.0,16.7,40.0,475.0,30.0,70.0,5.0,610.0,20.0,640.0
2021S051248060441,50.0,580.0,195.0,13.7,70.0,470.0,70.0,80.0,15.0,660.0,15.0,665.0
2021S051248060442,35.0,575.0,115.0,27.8,150.0,410.0,100.0,100.0,50.0,665.0,5.0,710.0
2021S051248060443,25.0,670.0,105.0,15.5,105.0,445.0,105.0,25.0,10.0,680.0,5.0,680.0
2021S051248060444,30.0,815.0,130.0,9.7,115.0,550.0,100.0,60.0,25.0,850.0,15.0,865.0
2021S051248060445,10.0,385.0,65.0,12.5,75.0,220.0,80.0,15.0,5.0,365.0,5.0,365.0
2021S051248060446,30.0,780.0,300.0,10.3,85.0,550.0,85.0,60.0,5.0,705.0,5.0,705.0
2021S051248060450,10.0,445.0,185.0,15.6,50.0,320.0,50.0,50.0,5.0,415.0,5.0,410.0
2021S051248060452,5.0,440.0,70.0,19.6,110.0,185.0,110.0,10.0,5.0,365.0,0.0,360.0
2021S051248060453,20.0,740.0,185.0,15.7,190.0,540.0,190.0,65.0,15.0,835.0,10.0,835.0
2021S051248060454,85.0,515.0,335.0,12.2,30.0,435.0,30.0,120.0,0.0,705.0,25.0,705.0
2021S051248060455,15.0,535.0,255.0,11.9,175.0,395.0,175.0,125.0,30.0,610.0,15.0,605.0
2021S051248060456,45.0,675.0,175.0,17.6,45.0,480.0,45.0,55.0,0.0,685.0,5.0,685.0
2021S051248060457,25.0,470.0,105.0,15.1,75.0,320.0,70.0,25.0,5.0,505.0,15.0,505.0
2021S051248060458,40.0,540.0,190.0,11.1,55.0,375.0,50.0,30.0,0.0,545.0,5.0,545.0
2021S051248060492,30.0,790.0,310.0,3.9,200.0,490.0,125.0,25.0,5.0,830.0,5.0,830.0
2021S051248060493,10.0,205.0,25.0,29.2,25.0,,,,,215.0,0.0,215.0
2021S051248060494,35.0,530.0,125.0,15.0,70.0,400.0,70.0,20.0,5.0,600.0,10.0,600.0
2021S051248060495,25.0,570.0,220.0,14.7,100.0,355.0,100.0,25.0,10.0,550.0,5.0,550.0
2021S051248060496,25.0,535.0,165.0,10.8,70.0,405.0,70.0,40.0,5.0,620.0,15.0,625.0
2021S051248060497,15.0,400.0,45.0,11.4,75.0,230.0,75.0,5.0,5.0,385.0,5.0,390.0
2021S051248060498,30.0,450.0,145.0,4.5,75.0,245.0,75.0,0.0,0.0,400.0,5.0,400.0
2021S051248060499,85.0,1545.0,570.0,11.6,435.0,920.0,350.0,95.0,75.0,1490.0,35.0,1580.0
2021S051248060500,65.0,1615.0,630.0,13.1,520.0,995.0,385.0,85.0,25.0,1585.0,35.0,1730.0
2021S051248060501,15.0,440.0,130.0,9.5,130.0,230.0,135.0,10.0,5.0,430.0,10.0,430.0
2021S051248060502,15.0,460.0,105.0,4.2,150.0,250.0,155.0,20.0,10.0,495.0,5.0,490.0
2021S051248060505,15.0,505.0,110.0,10.5,65.0,335.0,60.0,10.0,10.0,495.0,0.0,500.0
2021S051248060506,40.0,600.0,295.0,18.8,40.0,380.0,40.0,20.0,0.0,585.0,10.0,590.0
2021S051248060508,45.0,550.0,205.0,17.9,80.0,255.0,80.0,65.0,0.0,505.0,5.0,505.0
2021S051248060509,15.0,380.0,10.0,6.1,95.0,225.0,95.0,20.0,5.0,380.0,0.0,380.0
2021S051248060510,25.0,280.0,10.0,15.4,55.0,175.0,55.0,10.0,0.0,290.0,5.0,295.0
2021S051248060511,25.0,530.0,80.0,18.6,90.0,300.0,90.0,20.0,5.0,480.0,10.0,480.0
2021S051248060512,25.0,345.0,55.0,19.1,55.0,255.0,55.0,10.0,0.0,410.0,0.0,410.0
2021S051248060513,40.0,1085.0,165.0,7.2,350.0,530.0,350.0,20.0,15.0,1065.0,10.0,1060.0
2021S051248060514,30.0,645.0,90.0,14.3,140.0,430.0,140.0,35.0,15.0,685.0,5.0,690.0
2021S051248060516,15.0,275.0,80.0,11.1,30.0,165.0,30.0,25.0,5.0,280.0,5.0,280.0
2021S051248060518,40.0,840.0,175.0,14.5,215.0,500.0,215.0,40.0,15.0,860.0,15.0,925.0
2021S051248060519,15.0,370.0,75.0,11.1,55.0,230.0,50.0,20.0,10.0,355.0,0.0,355.0
2021S051248060520,40.0,620.0,215.0,14.0,65.0,475.0,65.0,70.0,5.0,655.0,10.0,655.0
2021S051248060521,15.0,415.0,35.0,15.4,85.0,285.0,85.0,15.0,5.0,440.0,0.0,440.0
2021S051248060522,15.0,185.0,0.0,12.5,65.0,145.0,65.0,5.0,0.0,250.0,0.0,250.0
2021S051248060523,25.0,760.0,105.0,12.6,165.0,515.0,165.0,35.0,10.0,825.0,0.0,825.0
2021S051248060524,20.0,470.0,135.0,15.0,80.0,325.0,80.0,25.0,5.0,470.0,5.0,475.0
2021S051248060525,10.0,470.0,40.0,3.7,100.0,240.0,100.0,5.0,0.0,405.0,5.0,410.0
2021S051248060526,80.0,1245.0,200.0,13.3,245.0,755.0,245.0,55.0,15.0,1230.0,5.0,1230.0
2021S051248060527,10.0,330.0,40.0,5.7,55.0,170.0,55.0,5.0,5.0,265.0,0.0,260.0
2021S051248060528,25.0,370.0,75.0,11.6,75.0,260.0,75.0,20.0,5.0,405.0,5.0,400.0
2021S051248060529,20.0,405.0,55.0,21.6,45.0,285.0,45.0,20.0,0.0,400.0,10.0,405.0
2021S051248060530,20.0,520.0,210.0,13.1,65.0,290.0,65.0,25.0,10.0,445.0,0.0,445.0
2021S051248060531,20.0,365.0,85.0,23.8,75.0,250.0,70.0,20.0,10.0,375.0,5.0,380.0
