Community name,% of people aged >65 and < 5 years old,% Visible minority population,% Aboriginal identity,% one parent families,% Living alone,% Women,% Newcomers to community (Mobility Status - movers from 2015-2016),% Recent immigrant (2011-2016) and non permanent residents,% Language (neither FR or EN),"% Low education (No certificate, diploma or degree)","% Low income (Based on the Low-income measure, after-tax (LIM-AT)) aged 18+",% Low income and aged 65+,% Unemployed,Public transit access,% Area of tree canopy (2020),% paved area,High income households,Resident count
UNIVERSITY DISTRICT,0.141843972,0.964539007,0,0,0.028368794,0.476595745,0.19858156,0.716312057,0.078014184,0.021276596,0.170212766,0,0.042553191,15,0.018187264,0.273014174,0,705
UNIVERSITY HEIGHTS,0.162957891,0.410818213,0.010270455,0.023964396,0.117425539,0.488531325,0.30811366,0.258473126,0.023964396,0.044505306,0.15405683,0.008558713,0.056487504,11,0.096969828,0.496138813,220,2921
UNIVERSITY OF CALGARY,0,,,,0,0.520490072,,,,,,,,21,0.067842709,0.551520535,,2367
UPPER MOUNT ROYAL,0.213478612,0.159402744,0.018159806,0.018159806,0.098466505,0.485068604,0.137207425,0.058514931,0.006053269,0.066585956,0.068603713,0.008071025,0.044390638,21,0.128345285,0.409168933,620,2478
VALLEY RIDGE,0.227394808,0.229185318,0.019695613,0.022381379,0.035273053,0.505819158,0.097582811,0.051029543,0.011638317,0.073410922,0.020590868,0.00179051,0.050134288,19,0.077410208,0.261376493,660,5585
VALLEYFIELD,,,,,,,,,,,,,,9,0.011308263,0.635789665,,0
VARSITY,0.273030915,0.293615038,0.01203977,0.031847134,0.137098027,0.509321112,0.192636321,0.107192792,0.01242815,0.075345658,0.089327326,0.012816529,0.056703433,100,0.07693146,0.384884896,1130,12874
VISTA HEIGHTS,0.179324895,0.457805907,0.035864979,0.048523207,0.053164557,0.499156118,0.158227848,0.107594937,0.033755274,0.130801688,0.08649789,0.006329114,0.071729958,11,0.024134726,0.37187726,25,2370
WALDEN,0.181438664,0.289017341,0.010436737,0.020873475,0.056037251,0.515093128,0.159762364,0.075465639,0.012042389,0.041746949,0.013648041,0.004816956,0.036127168,24,0.013758273,0.155450231,170,6228
WEST HILLHURST,0.181014425,0.172948658,0.025593299,0.035675508,0.125329611,0.501473554,0.16984644,0.059717698,0.003102218,0.058166589,0.07212657,0.021715527,0.035675508,31,0.062661325,0.432021975,1005,6447
WEST SPRINGS,0.124186652,0.290016732,0.014872653,0.027421454,0.035601413,0.506042015,0.088771147,0.06925079,0.005112474,0.053913367,0.024168061,0.001394311,0.042758877,43,0.046845435,0.348520895,1390,10758
WESTGATE,0.217988757,0.19675203,0.032792005,0.045284197,0.0908807,0.514678326,0.134291068,0.043722673,0.014053716,0.106183635,0.056214866,0.009369144,0.053091818,12,0.067787373,0.509797859,165,3202
WESTWINDS,,,,,,,,,,,,,,32,0.010738561,0.619215638,,0
WHITEHORN,0.189616441,0.698477411,0.017888343,0.046592895,0.044679258,0.479990016,0.189699642,0.186371578,0.054081038,0.183459522,0.082785589,0.005824112,0.054913054,39,0.04446607,0.522161102,70,12019
WILDWOOD,0.208564046,0.097822075,0.012919897,0.033222591,0.083794758,0.507936508,0.088593577,0.014765596,0.007382798,0.097822075,0.035068291,0.007382798,0.046142488,15,0.150168133,0.247715161,355,2709
WILLOW PARK,0.266141141,0.179241742,0.031906907,0.046921922,0.095720721,0.494744745,0.110735736,0.06006006,0.003753754,0.076013514,0.050675676,0.010322823,0.059121622,53,0.067997483,0.481756707,380,5328
WINDSOR PARK,0.172993019,0.318499127,0.020724258,0.030541012,0.211605585,0.509816754,0.257417103,0.159249564,0.009816754,0.071989529,0.122164049,0.02617801,0.061082024,11,0.08472809,0.361802776,200,4584
WINSTON HEIGHTS/MOUNTVIEW,0.201925722,0.191196699,0.05914718,0.041265475,0.140302613,0.48088033,0.19394773,0.053645117,0.011004127,0.137551582,0.088033012,0.026134801,0.057771664,13,0.001686616,0.266379167,270,3635
WOLF WILLOW,,,,,,,,,,,,,,1,0.025625799,0.056813856,,0
WOODBINE,0.223325062,0.195127453,0.034965035,0.036092939,0.053462666,0.493232574,0.10094744,0.039476652,0.006203474,0.075569592,0.040604557,0.00789533,0.063726596,33,0.050537836,0.475870335,705,8866
WOODLANDS,0.242085971,0.194935022,0.042485838,0.05164945,0.068310563,0.507164279,0.132455848,0.066644452,0.007497501,0.093302233,0.069143619,0.004998334,0.068310563,17,0.067529944,0.35430659,345,6002
YORKVILLE,0.214285714,,,,0,0,,,,,,,,0,0.003074859,0.013765091,,14
